siteId,name,current,lat,lon
elkhart-67,Pine Creek - CR 20,,41.645486,-85.833677
fish-1,Auten Ditch @Locust Road (S),,41.62611111,-86.28194444
fish-10,Christiana Creek@Bristol St. (Willowdale Park),,41.70166667,-85.97972222
fish-11,Christiana Creek@Cassopolis Above,,41.69555556,-85.97194444
fish-12,Christiana Creek@CR 4,,41.725,-85.98527778
fish-13,Christiana Creek@CR 6,,41.73972222,-85.98694444
fish-14,Christiana Creek@High Dive Above,,41.695,-85.97
fish-15,Christiana Creek@High Dive Below,,41.69444444,-85.96916667
fish-16,Christiana Creek@N. Main Well Field,,41.69527778,-85.97805556
fish-17,Cobus Creek@CR 12,,41.69583333,-86.05361111
fish-18,Cobus Creek@CR 2,,41.75363889,-86.05572222
fish-19,Cobus Creek@CR 6,,41.72444444,-86.05277778
fish-2,Baugo Creek@CR 1 (S),,41.55777778,-86.03972222
fish-20,Cobus Creek@CR 8,,41.71027778,-86.05111111
fish-21,Cobus Creek@ECC,,41.68666667,-86.04527778
fish-22,Cobus Creek@May Street,,41.78313889,-86.05191667
fish-23,Cobus Creek@Redfield Road,,41.76766667,-86.05647222
fish-24,Cobus Creek@US of Coberts lake,,41.81555556,-86.05888889
fish-25,Cobus East Lateral A@CR 6,,41.72402778,-86.04583333
fish-26,Elkhart River@American Park,,41.69055556,-85.96027778
fish-27,Elkhart River@Central High School,,41.68277778,-85.95944444
fish-28,Elkhart River@EEC (A),,41.66694444,-85.94416667
fish-29,Elkhart River@Hively Ave. (CR 18),,41.65805556,-85.91638889
fish-3,Baugo Creek@CR 3 (N),,41.6325,-86.02472222
fish-30,Elkhart River@Indiana Ave.,,41.67083333,-85.94361111
fish-31,Elkhart River@Middlebury St.,,41.67833333,-85.95777778
fish-32,Elkhart River@Oxbow Park,,41.62944444,-85.90138889
fish-33,Elkhart River@Oxbow Park (A),,41.62416667,-85.90111111
fish-34,Elkhart River@Oxbow Park (B),,41.63805556,-85.90416667
fish-35,Elkhart River@Rogers Park (Goshen),,41.57861111,-85.84222222
fish-36,Elkhart River@Shanklin Park,,41.575,-85.83972222
fish-37,Elkhart River@State Road 15 (B),,41.53388889,-85.83583333
fish-38,Elkhart River@Studebaker Park (A),,41.67638889,-85.94694444
fish-39,Eller Ditch@Bridgeton Drive,,41.64805556,-86.12527778
fish-4,Baugo Creek@Restoration Site,,41.65527778,-86.06111111
fish-40,Eller Ditch@Lincolnway,,41.66166667,-86.13666667
fish-41,Gast Ditch@Adams Road,,41.75338889,-86.06841667
fish-42,Gast Ditch@Douglas Road,,41.71008333,-86.06725
fish-43,Gast Ditch@Redfield Road,,41.76711111,-86.07177778
fish-44,Juday Creek@Grape Road,,41.70138889,-86.18583333
fish-45,Juday Creek@Izaak Walton League,,41.72805556,-86.26222222
fish-46,Juday Creek@Kintz Avenue,,41.71722222,-86.23305556
fish-47,Juday Creek@Myrtle Street,,41.72083333,-86.2475
fish-48,Juday Creek@Ponader Park,,41.70861111,-86.21277778
fish-49,Juday Creek@SR 23,,41.70638889,-86.20472222
fish-5,Baugo Creek@Restoration Site (B),,41.65194444,-86.05861111
fish-50,Lily Creek (OTD)@Park Six Drive,,41.72638889,-85.95638889
fish-51,Lily Creek (OTD)@Reckell Ave.,,41.70777778,-85.95694444
fish-52,Little Elkhart River@CR 10,,41.70194444,-85.71916667
fish-53,Little Elkhart River@CR 35,,41.70916667,-85.72638889
fish-54,Little Elkhart River@SR 120,,41.72416667,-85.79444444
fish-55,Pine Creek@SR 120 Residence,,41.69861111,-85.89472222
fish-56,Pine Creek@US 20 Bypass,,41.66444444,-85.87861111
fish-57,Puterbaugh Creek@CR 8,,41.71222222,-85.93833333
fish-58,Puterbaugh Creek@Reedy Drive,,41.72666667,-85.93416667
fish-59,Rock Run Creek@1st Street,,41.59388889,-85.83972222
fish-6,Bowman Creek@Chippewa Avenue,,41.636117,-86.268363
fish-60,Rock Run Creek@CR 34,,41.58111111,-85.78361111
fish-61,St. Joseph River@Angela Boulevard,,41.69277778,-86.26305556
fish-62,St. Joseph River@Brick Road,,41.72694444,-86.26777778
fish-63,St. Joseph River@Bridge St.,,41.6825,-85.99
fish-64,St. Joseph River@Capital Avenue,,41.66555556,-86.1425
fish-65,St. Joseph River@Darden Road,,41.75805556,-86.27166667
fish-66,St. Joseph River@Homan Avenue,,41.69555556,-85.92944444
fish-67,St. Joseph River@Ironwood Drive,,41.66027778,-86.21027778
fish-68,St. Joseph River@Jefferson Boulevard,,41.67138889,-86.23972222
fish-69,St. Joseph River@Keller Park ,,41.69972222,-86.25694444
fish-7,Bowman Creek@Gertrude Ave.,,41.63224,-86.2728
fish-70,St. Joseph River@LaSalle Street,,41.67861111,-86.24888889
fish-71,St. Joseph River@Lexington Ave.,,41.68388889,-85.98083333
fish-72,St. Joseph River@Logan Street,,41.66277778,-86.19361111
fish-73,St. Joseph River@McNaughton Park,,41.675,-85.99472222
fish-74,St. Joseph River@Merrifield Park,,41.66916667,-86.16638889
fish-75,St. Joseph River@Michigan Street,,41.68555556,-86.24666667
fish-76,St. Joseph River@Nappanee St.,,41.67916667,-86.00277778
fish-77,St. Joseph River@Nibbyville (A),,41.7125,-85.85666667
fish-78,St. Joseph River@Pinhook Park (B),,41.71611111,-86.26861111
fish-79,St. Joseph River@Sample Street,,41.6625,-86.2325
fish-8,Bowman Creek@Ravina Park,,41.65888889,-86.2375
fish-80,St. Joseph River@Sherman St.,,41.69,-85.98111111
fish-81,St. Joseph River@Six-Span,,41.70972222,-85.86833333
fish-82,St. Joseph River@SR 15 (Bristol),,41.72555556,-85.81472222
fish-83,St. Joseph River@Toll Road (Bristol),,41.7375,-85.80722222
fish-84,Trout Creek@CR 2,,41.75472222,-85.81388889
fish-85,Turkey Creek@CR 142,,41.51388889,-85.8475
fish-86,Turkey Creek@CR 50,,41.47027778,-85.84138889
fish-87,Willow Creek@Day Road,,41.69944444,-86.13222222
fish-88,Willow Creek@Estates Blvd,,41.67055556,-86.14583333
fish-89,Woodward Ditch@Oakside Avenue,,41.65861111,-86.12138889
fish-9,Bowman Creek@Studebaker Golf Course,,41.65305556,-86.24194444
fish-90,Yellow Creek@Concord High School,,41.63638889,-85.92611111
fish-91,Yellow Creek@CR 32,,41.57972222,-85.92916667
fish-92,Yellow Creek@US 20 Bypass,,41.65555556,-85.93111111
fish-93,Bowman Creek@Green Tech,,41.647293,-86.253745
fish-94,Elkhart River@Elkhart Ave,,41.685108,-85.969204
fish-95,Elkhart River@Prairie Street,,41.686594,-85.964199
fish-96,Juday Creek@Driftwood Drive,,41.705695,-86.196078
fish-97,Juday Creek@Holy Cross Parkway,,41.702786,-86.178168
fish-98,St. Joseph River@Michigan Street (B),,41.687745,-86.254063
invert-1,Abbott Creek@M Drive,,42.1519,-85.2447
invert-10,Bear Creek@Flech,,42.06453,-85.48071
invert-100,Dowagiac River@Yaw Street,,41.9984828,-86.1558509
invert-101,Eagle Lake Drain@39th Ave,,42.1625,-85.92664
invert-102,Eagle Lake Drain@40th Ave,,42.1605,-85.93638
invert-103,Eagle Lake Drain@42nd Street,,42.15318,-85.95566
invert-104,East Branch Paw Paw River@County Road 652,,42.17497,-85.78926
invert-105,East Branch Paw Paw River@County Road 653,,42.21311,-85.86202
invert-106,East Branch Paw Paw@26th St,,42.18155,-85.80351
invert-107,East Branch Paw Paw@32nd St,,42.21311,-85.86189
invert-108,East Branch Paw Paw@Downstream Gremps Street,,42.214472,-85.894089
invert-109,East Branch Paw Paw@Downstream M-40,,42.21297,-85.89118
invert-11,Bear Creek@Fulton Road,,42.06134,-85.35188
invert-110,Eau Claire Drain@2nd Street x Main Street in park,,41.9835,-86.3028
invert-111,Eau Claire Drain@4th St,,41.9856,-86.3042
invert-112,Eau Claire Drain@EuClare Rd,,41.9792,-86.2957
invert-113,Eau Claire Drain@Keigley Rd,,41.98322,-86.29821
invert-114,Eau Claire Drain@Linn Street,,41.9793,-86.2956
invert-115,Eau Claire Drain@Off Laberty Road,,41.98189,-86.32038
invert-116,Eau Claire Extension@Park off 5th St,,41.98814,-86.30669
invert-117,Elkhart River@American Park,,41.69055556,-85.96027778
invert-118,Elkhart River@Central High School,,41.68277778,-85.95944444
invert-119,Elkhart River@EEC (A),,41.66694444,-85.94416667
invert-12,Bear Creek@Hallam Road,,42.05632,-85.49404
invert-120,Elkhart River@Hively Ave. (CR 18),,41.65805556,-85.91638889
invert-121,Elkhart River@Indiana Ave.,,41.67083333,-85.94361111
invert-122,Elkhart River@Middlebury St.,,41.67833333,-85.95777778
invert-123,Elkhart River@Oxbow Park (B),,41.63805556,-85.90416667
invert-124,Elkhart River@Oxbow Park,,41.62944444,-85.90138889
invert-125,Elkhart River@Prairie Street,,41.686594,-85.964199
invert-126,Elkhart River@Studebaker Park (A),,41.67638889,-85.94694444
invert-127,Eller Ditch@Bridgeton Drive,,41.64805556,-86.12527778
invert-128,Eller Ditch@Lincolnway,,41.66166667,-86.13666667
invert-129,Farmers Creek@Hipps Hollow Rd,,41.98054,-86.33296
invert-13,Bear Creek@Longnecker Road,,42.05772,-85.35625
invert-130,Farmers Creek@M-62,,41.9855,-86.33
invert-131,Fawn River Drain@Featherstone Rd.,,41.85342,-85.55999
invert-132,Fawn River@Balk Rd,,41.75985,-85.47557
invert-133,Fawn River@d/s of Sturgis WWTP Outfall,,41.76493,-85.47949
invert-134,Fawn River@Dickinson Rd.,,41.80961,-85.57858
invert-135,Fawn River@Haybridge Rd.,,41.82478,-85.58104
invert-136,Fawn River@Sevinson Rd,,41.83575,-85.6027
invert-137,Fawn River@Stubey Rd,,41.763615,-85.486115
invert-138,Fawn River@u/s of Sturgis WWTP Outfall,,41.76471,-85.47936
invert-139,Fawn River@Watt Rd,,41.77375,-85.3114
invert-14,Bear Creek@Upstream Lawrence Road,,42.03217,-85.37779
invert-140,Fisher Creek@at Lester Road,,41.82545,-84.84305
invert-141,Fisher Creek@Bennett Road,,41.88267,-84.88526
invert-142,Fisher Creek@Fisher Rd,,41.8838,-84.8857
invert-143,Fisher Creek@Fisk Rd,,41.88252,-84.88523
invert-144,Fisher Creek@Quincy Rd,,41.866944,-84.879167
invert-145,Fisher Creek@Wolf Rd,,41.8473,-84.8552
invert-146,Fisher@Central,,41.86903,-84.88557
invert-147,Flowerfield Creek@6th,,42.08988,-85.70452
invert-148,Flowerfield Creek@YZ Ave,,42.07763,-85.65758
invert-149,Four County Drain@Gill Street,,42.05633,-85.749
invert-15,Beebe Creek@Dewey Rd.,,41.934592,-84.518353
invert-150,Four County Drain@M-216,,42.0268,-85.71612
invert-151,Gourdocek Creek@23rd Ave,,42.14944,-85.54035
invert-152,Harvey Creek@O Drive - South,,42.1371,-85.2627
invert-153,Hayden Creek@30th,,42.26511,-85.84157
invert-154,Hayden Creek@32nd St,,42.26575,-85.86308
invert-155,Hayden Creek@County Road 652,,42.25582,-85.80013
invert-156,Hickory Creek@Holden Road,,41.99604,-86.51427
invert-157,Hickory Creek@Maiden Lane,,42.0502532,-86.505508
invert-158,Hickory Creek@Roosevelt Road,,42.02576,-86.50456
invert-159,Hickory Creek@Stevensville Rd/Baroda Rd,,42.02544,-86.50448
invert-16,Beebe Creek@Mauck Road,,41.94186,-84.54541
invert-160,Hickory Creek@Upstream Cleveland Road,,42.06316,-86.49499
invert-161,Hickory Creek@Upstream Snow Road,,41.92741,-86.4704
invert-162,Himebaugh Drain@Fawn River Road,,41.78171,-85.2973
invert-163,Hog Creek@62 Ave,,42.19009,-86.14698
invert-164,Hog Creek@62nd Ave downstream 94,,42.20529,-86.1475
invert-165,Hog Creek@Girard Road,,42.02921,-85.04859
invert-166,Hog Creek@Red Arrow Highway,,42.20554,-86.14733
invert-167,Hog Creek@River Rd,,42.03604,-85.03992
invert-168,Juday Creek@Driftwood Drive,,41.705695,-86.196078
invert-169,Juday Creek@Grape Road,,41.70138889,-86.18583333
invert-17,Beebe Creek@Slater Road (north),,41.94068,-84.51576
invert-170,Juday Creek@Holy Cross Parkway,,41.702786,-86.178168
invert-171,Juday Creek@Ironwood Drive,,41.710836,-86.2169
invert-172,Juday Creek@Izaak Walton League,,41.72805556,-86.26222222
invert-173,Juday Creek@Kintz Avenue,,41.71722222,-86.23305556
invert-174,Juday Creek@Myrtle Street,,41.72083333,-86.2475
invert-175,Juday Creek@Ponader Park,,41.70861111,-86.21277778
invert-176,Juday Creek@SR 23,,41.70638889,-86.20472222
invert-177,Juday Creek@SR 933,,41.722031,-86.250388
invert-178,Juday Creek@St. Joseph River Mouth,,41.727036,-86.267329
invert-179,Lake of the Woods Drain@92nd Avenue,,42.0845435,-86.0375571
invert-18,Beebe@Moore Rd,,41.95409,-84.63932
invert-180,Lawton Drain@County Road 665,,42.16402,-85.88718
invert-181,Lemon Creek@Lauer Road,,41.92589,-86.43682
invert-182,Lemon Creek@upstream Dairy Road,,41.96583,-86.365
invert-183,Lemon Creek@Upstream of Red Bud Trail,,41.94944,-86.37874
invert-184,Lily Creek (OTD)@Reckell Ave.,,41.70777778,-85.95694444
invert-185,Little Elkhart River@CR 10,,41.70194444,-85.71916667
invert-186,Little Elkhart River@CR 35,,41.70916667,-85.72638889
invert-187,Little Elkhart River@SR 120,,41.72416667,-85.79444444
invert-188,Little Portage Creek@38th St,,42.08855,-85.39109
invert-189,Little Swan@Babcock,,41.95197,-85.19011
invert-19,Big Meadow Creek@Marquette Woods,,42.02907,-86.43998
invert-190,Little Swan@Custer,,41.91927,-85.30979
invert-191,Love Creek@Hipps Hollow,,41.97923,-86.35623
invert-192,Lower Hog@Watkins,,41.9339,-84.794447
invert-193,McCoy Creek@729 E 3rd St,,41.83082,-86.3544
invert-194,McCoy Creek@Bakertown Rd,,41.81293,-86.3877
invert-195,McCoy Creek@Sinclair,,41.83364,-86.34794
invert-196,McKenzie Creek@2271 Thunderbird,,41.882,-86.21682
invert-197,McKinzie Creek@Barron Lake Rd,,41.87333,-86.175
invert-198,McKinzie Creek@Hand Rd,,41.87689,-86.20495
invert-199,McKinzie Creek@Hoyt Road,,41.86194,-86.15833
invert-2,Alder@K Drive - South,,42.1667,-85.09648
invert-20,Big Meadow Drain@John Beers Road,,42.01468,-86.45093
invert-200,McKinzie Creek@Thompson Road,,41.875,-86.19805
invert-201,Mill Creek@67th Street,,42.14753,-86.19582
invert-202,Mill Creek@77th Avenue,,42.1401,-86.17606
invert-203,Mill Creek@Butternut Road,,42.1905,-86.25791
invert-204,Mill Creek@County Line Road,,42.14297,-86.22286
invert-205,Mill Creek@Hill Road,,42.14494,-86.24246
invert-206,Mill Creek@N Branch Rd,,42.14383,-86.2267
invert-207,Mill Creek@Quaker St,,41.83072,-85.74324
invert-208,Mill Creek@Red Arrow Hwy / E St. Joe St,,42.18411,-86.25626
invert-209,Mill Creek@Smith Road,,42.1715,-86.2481
invert-21,Blackwell Drain@Girard Road,,42.02827,-85.19361
invert-210,Miller Lake Outlet@Tripp Road,,41.97344,-85.06974
invert-211,Mud Lake Drain@48th Ave,,42.24388,-86.16414
invert-212,Mud Lake Drain@52nd Avenue,,42.229576,-86.184232
invert-213,North Branch Hog Creek@at Litchfield Road,,42.04385,-84.87552
invert-214,North Branch Hog Creek@Burbank Road,,42.03714,-84.88487
invert-215,North Branch Hog Creek@Crandall Road,,42.0293,-84.85846
invert-216,North Branch Hog Creek@Lymon Rd,,42.03562,-84.951329
invert-217,North Branch Paw Paw River@32nd Street,,42.27705,-85.86305
invert-218,North Branch Paw Paw@35 1/2 St,,42.26601,-85.89267
invert-219,North Branch Paw Paw@Stevens Rd,,42.30817,-85.80572
invert-22,Blue Creek@Beuton Center Road,,42.12706,-86.37865
invert-220,Nottawa Creek@10 Mile Rd,,42.19586,-85.10421
invert-221,Nottawa Creek@11 Mile Road,,42.1907,-85.08024
invert-222,Nottawa Creek@15 1/2 Mile Rd,,42.1831,-84.9872
invert-223,Nottawa Creek@17 Mile Rd,,42.1648,-84.9623
invert-224,Nottawa Creek@19 Mile Rd,,42.186111,-84.925278
invert-225,Nottawa Creek@4 Mile Rd,,42.09515,-85.21579
invert-226,Nottawa Creek@9 Mile Rd,,42.14815,-85.11939
invert-227,Nottawa Creek@Correll Road,,42.04024,-85.33234
invert-228,Nottawa Creek@K Drive & Moore,,42.16788,-84.99137
invert-229,Nottawa Creek@Old 27,,42.1648,-84.96204
invert-23,Blue Creek@Euclid,,42.14467,-86.40803
invert-230,Nottawa Creek@Olney Rd,,42.01317,-85.38109
invert-231,Nottawa Creek@Shorts Road,,42.05513,-85.30815
invert-232,Nottawa Creek@V Drive,,42.08626,-85.26925
invert-233,Nye Drain@Balk Road,,41.76517,-85.467
invert-234,Old Bitty Creek@Red Bud Tr,,41.8565,-86.36527
invert-235,Osborn Drain@Atwood Rd,,42.0565,-85.9824
invert-236,Ox Creek@5th Ave,,42.1199,-86.45275
invert-237,Ox Creek@Britain Road,,42.10895,-86.44367
invert-238,Ox Creek@Crystal Ave,,42.09204,-86.41695
invert-239,Ox Creek@Downstream Crystal (in cemetary),,42.0924,-86.4191
invert-24,Blue Creek@Park Road,,42.12169,-86.32078
invert-240,Ox Creek@Meadowbrook,,42.07977,-86.41493
invert-241,Ox Creek@Mouth at Paw Paw River,,42.1198,-86.4664
invert-242,Ox Creek@Territorial Road,,42.11816,-86.44993
invert-243,Ox Creek@Waters,,42.12117,-86.45452
invert-244,Painterville Drain@Browntown Rd,,41.90003,-86.60661
invert-245,Palmitere Lake Drain@Log Rd,,41.877,-85.13742
invert-246,Paw Paw River@@ Silver Leaf Paper Company,,42.198616,-86.243059
invert-247,Paw Paw River@45th St,,42.25273,-85.987925
invert-248,Paw Paw River@48th Avenue,,42.24381,-86.0116
invert-249,"Paw Paw River@52nd Street, North Paw Paw Street, County Road 673",,42.22381,-86.05121
invert-25,Blue Creek@Red Arrow Highway,,42.13572,-86.39761
invert-250,Paw Paw River@54th St,,42.22585,-86.07107
invert-251,Paw Paw River@64th,,42.2213,-86.1651
invert-252,Paw Paw River@6750th,,42.21667,-86.20112
invert-253,Paw Paw River@70th St / Co. Line,,42.20496,-86.22301
invert-254,Paw Paw River@Alreco-Reynolds Aluminum,,42.137118,-86.429497
invert-255,Paw Paw River@Ausco Landfill,,42.120852,-86.467232
invert-256,Paw Paw River@Ausco Site (Historic),,42.114736,-86.470101
invert-257,Paw Paw River@Bundy Road,,42.19827,-86.34184
invert-258,Paw Paw River@d/s Alreco-Reynolds,,42.133697,-86.439066
invert-259,Paw Paw River@d/s Ausco Riverside,,42.142197,-86.426609
invert-26,Blue Creek@Territorial Road,,42.12592,-86.36969
invert-260,Paw Paw River@Defield,,42.19577,-86.31065
invert-261,Paw Paw River@M681,,42.23395,-86.10853
invert-262,Paw Paw River@Off M-140,,42.20604,-86.24354
invert-263,Paw Paw River@Paw Paw Lake Road,,42.1928,-86.3025
invert-264,Peavine Creek@Edwards St.,,41.9469908,-86.1727282
invert-265,Pigeon River@Blue School Rd,,41.78966,-85.68099
invert-266,Pigeon River@d/s White Pigeon Sanitary System,,41.785,-85.64
invert-267,Pigeon River@Kalamazoo & Sevenson,,41.78625,-85.64246
invert-268,Pigeon River@u/s White Pigeon Sanitary System,,41.785,-85.64
invert-269,Pine Creek@64th Ave,,42.18843,-86.16649
invert-27,Blue Creek@Vicinity of proposed US-31 bypass,,42.12583,-86.36972
invert-270,Pine Creek@64th Street,,42.16584,-86.16642
invert-271,Pine Creek@66th Ave,,42.17864,-86.15769
invert-272,Pine Creek@72nd Ave,,42.15701,-86.17349
invert-273,Pine Creek@at Private Drive off 687/64th Street,,42.16795,-86.16331
invert-274,Pine Creek@M-51,,42.00746,-86.10721
invert-275,Pine Creek@N Drive,,42.1452,-85.2058
invert-276,Pine Creek@railRd tracks near Duwel discharge point,,42.197781,-86.177782
invert-277,Pine Creek@Red Arrow Highway,,42.20571,-86.18215
invert-278,Pine Creek@Rudy Rd,,41.99618,-86.09408
invert-279,Pine Creek@S Drive - South,,42.11076,-85.25247
invert-28,Bowman Creek@Chippewa Avenue,,41.636117,-86.268363
invert-280,Pine Creek@SR 120 Residence,,41.69861111,-85.89472222
invert-281,Pine Creek@US 20 Bypass,,41.66444444,-85.87861111
invert-282,Pine Lake Drain - Unnamed Tributary@Louise Rd,,41.99663,-86.10227
invert-283,Pine@K Drive,,42.16684,-85.18705
invert-284,Pipestone Creek@Hillandale Rd,,42.06519,-86.35858
invert-285,Pipestone Creek@Hochberger Road,,42.0277,-86.31015
invert-286,Pipestone Creek@Naomi Road-West Crossing,,42.04322,-86.33345
invert-287,Pipestone Creek@Naomi Road (east) (downstream),,42.04268,-86.28461
invert-288,Pipestone Creek@Old Pipestone Rd,,42.03146,-86.29999
invert-289,Pipestone Creek@Pipestone Rd,,42.06,-86.3878
invert-29,Bowman Creek@Gertrude Ave.,,41.632162,-86.272785
invert-290,Pipestone Creek@Vicinity of proposed US-31 bypass,,42.064167,-86.372
invert-291,Pipestone Creek@Wildwood Dr,,42.060079,-86.396446
invert-292,Pokagon Creek@Anderson Road,,41.88841,-86.12736
invert-293,Pokagon Creek@Jones Rd,,41.8942,-86.1227
invert-294,Pokagon Creek@Pokagon Highway,,41.91194,-86.05916
invert-295,Pokagon Creek@Pokagon Highway,,41.912481,-86.1722359
invert-296,Pokagon Creek@Reynolds Rd,,41.913,-86.2015
invert-297,Portage Creek@Y Ave,,42.08547,-85.50888
invert-298,Portage River@at Fisher Lake Road,,42.00813,-85.56722
invert-299,Portage River@R Ave,,42.18686,-85.47466
invert-3,Auten Ditch @Locust Road (S),,41.62611111,-86.28194444
invert-30,Bowman Creek@Green Tech,,41.647293,-86.253745
invert-300,Portage River@South Fisher Lake Rd,,41.97676,-85.60143
invert-301,Portage River@Y Ave,,42.08564,-85.49191
invert-302,Prairie River@Bowers Rd,,41.80182,-85.11642
invert-303,Prairie River@Dragon Lake Rd,,41.80039,-85.07915
invert-304,Prairie River@Main St.,,41.84874,-85.31545
invert-305,Prairie River@McKale Rd,,41.87296,-85.3761
invert-306,Prairie River@Middle Colon Rd.,,41.85460615,-85.33094954
invert-307,Prairie River@Orland Rd,,41.8391,-85.19303
invert-308,Prairie River@St. Joseph Road,,41.84061,-85.29175
invert-309,Prairie River@Strobel,,41.91606,-85.56596
invert-31,Bowman Creek@Ravina Park,,41.65888889,-86.2375
invert-310,Puterbaugh Creek@CR 8,,41.71222222,-85.93833333
invert-311,Puterbaugh Creek@Reedy Drive,,41.72666667,-85.93416667
invert-312,Red Creek@54th Ave or M-215,,42.169,-86.07089
