siteId,date,ph,spc,do,doPerc,chlorides,chlorophyll,turbidity,temp,ecoli,phosphorus,nitrates,tss
steuben-10,8/22/2023,8.11,672.9,10.07,117.4,57.71,2.2,3.8,21.6,129.1,0.035,0.964,
steuben-10,8/28/2023,7.78,710.1,6.35,68.4,82.44,2.61,2,17.36,111.2,0.035,1.15,1.8
steuben-10,9/7/2023,7.86,685.7,7.27,82.9,65.2,2.81,4,19.78,96,0.022,1.22,0.6
steuben-10,9/14/2023,8.01,694.9,10.1,105,64.95,2.63,3.9,16.07,142.1,0.031,1.23,2.5
steuben-10,9/19/2023,8,688.7,9.96,100.7,84.98,6.36,12.1,14.61,201.4,0.031,1.29,1.5
steuben-10,9/26/2023,7.93,704.5,8.76,94,93.66,8.94,23.4,17.54,178.5,0.04,1.42,4.3
steuben-10,10/3/2023,7.79,608.7,7.34,82.3,50.49,10.21,15.7,19.56,547.5,0.081,0.818,18.4
steuben-10,10/9/2023,7.73,672.2,6.59,64.6,93.69,12.66,9.9,12.66,172.2,0.046,1.18,2.9
steuben-2,6/6/2023,7.72,730,8.54,86.4,,,,16.02,290.09,0.031,1.14,1.7
steuben-2,6/13/2023,7.91,741,9.33,88.9,,,,13.9,248.9,0.023,1.43,1.9
steuben-2,6/20/2023,7.88,713,9.41,99.3,,,,17.8,396.8,0.036,0.517,2.3
steuben-2,6/28/2023,7.96,742,8.81,89.9,,,,16.4,435.2,0.056,1.61,2.5
steuben-2,7/6/2023,7.96,736,5.79,64.5,,,,20.8,866.4,0.071,0.474,4.3
steuben-2,7/12/2023,8.04,744,7.9,80.6,,,,19.7,686.7,0.072,0.349,2.3
steuben-2,7/18/2023,7.58,736,7.4,76.6,,,,17.1,325.5,0.065,0.574,1.7
steuben-2,7/25/2023,7.96,716,12.36,137.8,,,,20.8,313,0.069,0.35,2.6
steuben-2,8/1/2023,7.59,715,7.87,82.6,,,,17.7,249.5,0.106,1.4,3
steuben-2,8/10/2023,7.82,627.7,6.94,80,21.65,4.45,6.5,19.88,325.5,0.1,0.598,
steuben-2,8/15/2023,7.75,663,6.25,68.9,35.78,4.29,4.8,18.01,547.5,0.086,0.501,2.1
steuben-2,8/23/2023,7.76,649.3,6.64,73.2,26,3.81,7.7,18.52,547.5,0.089,0.338,
steuben-2,8/30/2023,7.75,422.6,6.38,67.2,20.32,11.1,9.5,16.49,1299.7,0.11,0.831,9.3
steuben-2,9/6/2023,7.68,683.5,4.45,51.1,31.62,4.46,17,20.25,1553.1,0.192,0.307,1.6
steuben-2,9/13/2023,7.81,642.9,7.06,70.4,38.8,5.17,20.4,13.93,461.1,0.081,0.869,35
steuben-2,9/21/2023,7.98,663.7,10.82,115.4,23.86,3.79,9.3,17.27,488.4,0.065,0.463,1.1
steuben-2,9/27/2023,7.79,665.5,6.57,69.3,23.51,110.89,40.3,16.68,648.8,0.068,0.28,3
steuben-2,10/5/2023,7.82,673.2,7.4,78.6,24.04,6.41,8,16.58,248.1,0.196,0.305,4.2
steuben-2,10/10/2023,7.97,664.3,11.42,106.9,35.7,4.45,370,10.68,461.1,0.054,0.361,1.2
steuben-3,6/6/2023,7.64,807,4.26,44,,,,16.9,127.4,0.149,0.88,3.3
steuben-3,6/13/2023,7.78,826,4.86,65.5,,,,13.3,115.3,0.114,0.879,71.3
steuben-3,6/20/2023,7.65,804,4.86,52.4,,,,18.8,172.3,0.14,0.838,37.9
steuben-3,6/28/2023,7.75,860,4.77,47.5,,,,15.5,866.4,0.041,7.81,6.3
steuben-3,7/6/2023,7.82,869,3.38,38.7,,,,22.1,770.1,0.136,0.569,9.3
steuben-3,7/12/2023,7.84,859,4.68,51.8,,,,20.4,325.5,0.14,0.743,15.5
steuben-3,7/18/2023,7.56,906,4.43,45.3,,,,16.4,307.6,0.075,1.8,8.5
steuben-3,7/25/2023,2.39,888,3.91,43.1,,,,20.1,178.5,0.183,0.699,4
steuben-3,8/1/2023,7.22,896,4.32,44,,,,16,920.8,0.067,3.08,6.4
steuben-3,8/10/2023,7.62,633.4,3.23,37.8,28.24,8.99,419.9,20.91,387.3,0.116,0.765,
steuben-3,8/15/2023,7.78,403.3,3.35,38.1,46.33,8.31,11.8,19.65,816.4,0.115,0.638,9.3
steuben-3,8/23/2023,7.53,761.6,3.82,42.7,42.77,7.44,13.1,19.28,686.7,0.136,0.894,
steuben-3,8/30/2023,7.38,31.2,3.1,34.4,81.32,18.96,3444.1,17.2,118.7,0.144,0.893,8.6
steuben-3,9/6/2023,7.46,792.8,2.66,30.3,62.05,17.77,35,20.77,88.2,0.17,0.993,3.9
steuben-3,9/13/2023,7.52,703.2,4.34,44.1,71.3,10.6,27.8,14.7,235.9,0.118,0.855,3.81
steuben-3,9/21/2023,7.52,771.8,4.26,45.5,55.91,8.93,19.5,17.36,155.3,0.106,0.783,36.5
steuben-3,9/27/2023,7.45,791.1,3.11,33.3,84.05,19.17,56.8,16.66,770.1,0.137,1.16,38
steuben-3,10/5/2023,7.41,800.3,2.17,23.2,69.6,9.18,13.1,16.94,139.6,0.373,0.472,53.2
steuben-3,10/10/2023,7.48,736.5,4.47,41.7,84.01,9,10.1,10.58,35,0.074,0.473,8.1
steuben-4,6/5/2023,7.55,673,5.76,57.7,,,,15.4,686.7,0.09,2.34,10.2
steuben-4,6/12/2023,7.78,670,4.76,45.3,,,,12.95,>2419.6,0.103,2.1,8.4
steuben-4,6/19/2023,7.7,700,2.42,23.6,,,,17.5,4332,0.281,1.52,51.2
steuben-4,6/27/2023,7.71,662,4.75,47.7,,,,15.6,7068,0.26,1.74,159.6
steuben-4,7/5/2023,7.67,681,3.97,43.7,,,,19.7,3069.3,0.201,0.977,7
steuben-4,7/10/2023,7.78,679,5.13,53.7,,,,17.1,1931.3,0.16,1.28,5.3
steuben-4,7/17/2023,7.55,529,5.1,56,,,,20.2,1291,0.119,1.55,10.9
steuben-4,7/25/2023,7.55,529,4.07,44,,,,19.8,2888,0.098,0.58,10.3
steuben-4,7/31/2023,8.07,481,6.8,81.9,,,,24.8,786.3,0.168,0.409,82.4
steuben-4,8/8/2023,7.99,446.4,6.59,88,64.21,9.83,18.5,23.2,395.7,0.056,<0.200,
steuben-4,8/14/2023,8.19,449.5,6.53,79.8,76.09,10.14,34.5,23.38,162.3,0.087,0.241,12
steuben-4,8/22/2023,7.82,452.6,5.86,71.2,71.98,5.85,17.3,23.43,407.7,0.047,0.263,
steuben-4,8/28/2023,7.7,489.2,6.27,63.3,100.48,8.88,42.3,17.24,387.3,0.045,0.631,5.1
steuben-4,9/7/2023,8.23,603.6,3.57,39.9,57.11,15.33,151.2,19.27,1413.6,0.086,0.688,11.9
steuben-4,9/14/2023,7.75,557.3,5.68,57.7,81.91,1.11,25.6,14.88,613.1,0.073,0.81,28.62
steuben-4,9/19/2023,7.77,624.2,3.53,35.8,67.35,7.2,33.4,14.47,290.9,0.063,1.02,12.1
steuben-4,9/26/2023,7.39,90.8,2.08,22.7,47.33,11.96,25,18.33,2419.6,0.15,0.545,29.3
steuben-4,10/3/2023,,,,,,,,,>2419.6,0.101,0.4,12.6
steuben-4,10/9/2023,7.77,218.6,8.09,73.7,203.73,9.87,36.3,9.44,613.1,0.121,0.301,11.75
steuben-5,6/5/2023,8.36,757,8.38,87.2,,,,18.3,51.2,0.087,0.963,63.28
steuben-5,6/12/2023,8.2,760,8.31,81.2,,,,14.4,129.6,0.054,0.722,8.1
steuben-5,6/19/2023,8.08,747,7.91,84.1,,,,18.4,488.4,0.076,0.472,13.1
steuben-5,6/27/2023,8.16,646,7.69,79.5,,,,17,1454,0.187,0.706,3.9
steuben-5,7/5/2023,8.1,714,6.61,74.3,,,,21.5,1413.6,0.101,0.634,3.7
steuben-5,7/10/2023,8.2,736,7.68,81.8,,,,18.6,410.6,0.08,0.494,6.8
steuben-5,7/17/2023,7.98,733,7.85,84.7,,,,19.1,770.1,0.079,1.18,2.6
steuben-5,7/25/2023,7.94,686,8.24,88.6,,,,18.8,1046.2,0.148,0.504,9.2
steuben-5,7/31/2023,7.64,523,7.77,82.3,,,,21.5,307.6,0.101,0.437,17.6
steuben-5,8/8/2023,7.92,480,7.4,85,72.79,7.27,13.6,20.3,117.8,0.063,0.357,
steuben-5,8/14/2023,7.95,513.8,7.33,85.5,73.82,8.14,13.8,21.2,179.3,0.054,0.524,41.4
steuben-5,8/22/2023,8.05,557.2,7.78,90.3,77.87,4.79,4.9,21.06,228.2,0.066,0.617,
steuben-5,8/28/2023,8.07,76.7,8.17,86.4,96.23,11.94,68.2,16.68,248.1,0.067,0.55,4.4
steuben-5,9/7/2023,8.05,678,6.91,79.2,90.41,7.49,69.2,20.17,1046.2,0.092,0.2,25.3
steuben-5,9/14/2023,8.02,600.4,8.11,85.2,58.24,11.41,63.4,16.68,816.4,0.044,0.279,19.57
steuben-5,9/19/2023,,,,,,,,,,,,
steuben-5,9/26/2023,,,,,,,,,,,,
steuben-5,10/3/2023,7.94,663.4,7.52,83.4,89.32,4.86,1.7,19.08,186,0.036,0.239,8
steuben-5,10/9/2023,7.98,514.2,8.15,80.3,123.71,8.8,43,12.96,387.3,0.068,0.231,5.2
steuben-6,6/5/2023,7.94,1040,1.99,21.8,,,,22.8,686.7,0.058,1.27,2.2
steuben-6,6/12/2023,7.89,1021,0.2,2.1,,,,16.3,178.2,0.071,0.979,4.6
steuben-6,6/19/2023,7.99,1042,1.04,11.7,,,,21.7,140.1,0.05,1.24,11.8
steuben-6,6/27/2023,7.85,1030,5.3,57.7,,,,19.3,551,0.087,0.454,8.3
steuben-6,7/5/2023,7.95,793,6.12,71,,,,25.4,108.1,0.055,0.819,3.2
steuben-6,7/10/2023,7.95,1033,1.75,19,,,,19.4,19.7,0.039,1.83,4
steuben-6,7/17/2023,7.83,451,7.66,88.3,,,,22.4,1119.9,0.18,0.446,42.2
steuben-6,7/25/2023,7.41,961,5.3,55.1,,,,20.4,980.4,0.063,1.41,6.9
steuben-6,7/31/2023,7.53,449,6.25,72.5,,,,23.4,920.8,0.149,0.409,38.4
steuben-6,8/8/2023,7.7,702.6,6.39,76.9,33.5,108.22,126.6,21.32,866.4,0.088,0.643,
steuben-6,8/14/2023,7.6,948.5,5.6,65.6,144.6,8.49,75.4,20.79,224.7,0.045,1.84,15.4
steuben-6,8/22/2023,7.17,767.8,0.02,0.3,97.76,1.24,2904.3,27.88,178.5,0.101,1.51,
steuben-6,8/28/2023,7.72,1170.1,6.69,71.5,210.9,12.18,223.9,16.85,77.1,<0.022,3.93,2.8
steuben-6,9/7/2023,7.59,826.3,6.52,76.9,174.09,34.9,210.8,21.98,488.4,0.069,0.817,9
steuben-6,9/14/2023,7.41,502.4,1.61,18.9,98.66,29.8,12.9,21.44,185,0.064,0.865,9.71
steuben-6,9/19/2023,7.88,756.5,9.03,97.5,166.87,10.74,8.8,17.73,142.1,0.039,1.4,7.5
steuben-6,9/26/2023,7.93,945,8.74,103.5,149.67,8.52,15.7,22.33,156.5,0.029,2.38,23.5
steuben-6,10/3/2023,7.76,570.1,8.13,100.3,79.35,13.02,16.1,23.8,,,,21.8
steuben-6,10/9/2023,7.93,524.8,8.31,78.4,145.37,14.07,17.3,10.93,178.9,0.058,0.588,3.6
steuben-7,6/6/2023,8.06,873,8.52,93.3,,,,19.9,260.3,0.05,1.23,6.8
steuben-7,6/13/2023,8.14,878,10.54,107.1,,,,15.9,307.6,0.032,1.01,1.3
steuben-7,6/20/2023,8.16,870,8.58,98.1,,,,22.1,328.2,0.61,0.89,1.6
steuben-7,6/28/2023,8.25,859,8.23,90.2,,,,19.8,260.3,0.066,2.94,1.8
steuben-7,7/6/2023,8.23,843,6.03,71.6,,,,24,727,0.073,1.02,2.2
steuben-7,7/12/2023,8.37,832,9.32,109.2,,,,23.4,755.6,0.126,0.701,1.8
steuben-7,7/18/2023,8,817,9.08,102.9,,,,21,372.3,0.052,1.58,2.3
steuben-7,7/25/2023,8.15,800,13.65,164.5,,,,25.1,344.8,0.047,0.703,1.4
steuben-7,8/1/2023,7.78,746,8.41,96.9,,,,22.5,272.3,0.062,2.5,3.8
steuben-7,8/10/2023,8.11,701,7.83,93.7,19.93,8.56,5.3,22.18,816.4,0.065,1.59,
steuben-7,8/15/2023,8.03,710.3,6.4,73.3,35.76,7.39,3.8,20.11,648.8,0.063,1.5,3.8
steuben-7,8/23/2023,7.99,730.5,6.39,75.1,28.01,3.91,6.7,21.89,866.4,0.072,1.16,
steuben-7,8/30/2023,8.05,715.3,6.7,71.9,39.67,9.27,7.7,17.22,1203.3,0.074,0.722,6
steuben-7,9/6/2023,7.87,716.7,4.81,57.7,30.1,5.03,13,22.34,920.8,0.171,0.685,2.4
steuben-7,9/13/2023,8.17,724,8.73,92.1,38.06,20.29,5.2,16.57,1553.1,0.074,0.398,6.75
steuben-7,9/20/2023,8.24,710.9,10.55,114.1,30.82,27.3,6.1,17.77,1732.9,0.062,0.313,14.2
steuben-7,9/27/2023,7.99,679.1,6.81,73,37.18,5.57,10.5,17.39,2419.6,0.105,0.516,3.3
steuben-7,10/4/2023,8.01,710.5,8.11,90.8,33.23,3.78,1.8,19.45,146.4,0.049,0.715,4
steuben-7,10/11/2023,8.04,716.5,9.82,92.9,56.24,3.14,4.8,11.17,307.6,0.045,0.48,0.8
steuben-8,6/6/2023,8.23,1093,8.33,90.2,,,,19.6,275.5,0.055,2.32,1.7
steuben-8,6/13/2023,8.21,1111,9.11,91.2,,,,15.5,224.7,0.028,2.42,0.6
steuben-8,6/20/2023,8.06,1084,8.14,93,,,,21.1,325.5,0.057,2.35,1.5
steuben-8,6/28/2023,8.18,1005,7.76,83.2,,,,19.2,387.3,0.086,3.11,6
steuben-8,7/6/2023,8.09,984,6.17,72.8,,,,23.5,290.9,0.107,1.94,7.2
steuben-8,7/12/2023,8.02,1070,7.09,80.9,,,,21.9,307.6,0.118,2.34,3.2
steuben-8,7/18/2023,7.84,912,7.13,79.2,,,,20.3,235.9,0.071,2.68,6.6
steuben-8,7/25/2023,7.82,1131,8.99,105.7,,,,23.5,151.5,0.072,2.85,1.9
steuben-8,8/1/2023,7.62,835,7.44,84,,,,21.3,131.4,0.083,2.92,10.3
steuben-8,8/10/2023,7.92,862.8,7.24,84.9,72.46,4.26,5,21.18,133.3,0.075,3.07,
steuben-8,8/15/2023,7.85,999.8,6.49,74,138.8,4.44,4.4,19.72,146.7,0.069,3.67,1.6
steuben-8,8/23/2023,7.82,908.4,7.16,83.4,98.05,3.34,4.2,21.09,298.7,0.07,3.43,
steuben-8,8/30/2023,7.8,1073.9,6.87,74.3,194.22,6.11,3.8,17.6,579.4,0.072,4.38,2.8
steuben-8,9/6/2023,7.72,1161.7,5.42,65,176.53,6.57,8.5,22.4,228.2,0.1,4.48,4.2
steuben-8,9/13/2023,7.84,1023.3,7.32,77.6,189.6,4.75,3.3,16.64,206.6,0.096,4.39,0.875
steuben-8,9/20/2023,7.89,1072.8,8.61,91.4,173.84,3.45,3.4,16.78,224.7,0.111,4.33,0.2
steuben-8,9/27/2023,7.59,1121.6,6.77,72.2,212.94,4.06,4.5,17.74,387.3,0.252,4.84,1.2
steuben-8,10/4/2023,7.83,989.9,7.25,80.2,142,4.25,2.2,18.72,131.4,0.064,3.36,1.6
steuben-8,10/11/2023,7.93,1040.1,8.84,84.1,247.53,20.92,1.9,11.42,218.7,0.083,4.07,1
steuben-9,6/6/2023,8.02,792,10.17,99.9,,,,19.2,118.7,0.068,2.01,4.5
steuben-9,6/13/2023,8.12,795,9.36,95.4,,,,16.3,325.5,0.06,1.65,1
steuben-9,6/20/2023,7.87,775,9.18,103.1,,,,21.2,365.4,0.091,1.02,1.3
steuben-9,6/28/2023,8.06,739,8.72,95.2,,,,19.6,344.8,0.103,0.89,1.9
steuben-9,7/6/2023,7.98,782,5.99,68.9,,,,22.3,365.4,0.141,0.811,5.7
steuben-9,7/12/2023,8.05,8.36,8.34,38,,,,21,1038.6,0.13,1.01,8.6
steuben-9,7/18/2023,6.49,660,6.49,75.4,,,,22.4,248.1,0.155,0.599,15.7
steuben-9,7/25/2023,7.66,717,24.7,6.46,,,,24.7,435.2,0.134,0.808,13.7
steuben-9,8/1/2023,7.66,621,5.68,67.5,,,,23.8,816.4,0.181,0.661,24.2
steuben-9,8/10/2023,7.79,683.9,6.67,78.1,19.79,6.09,16.4,21.4,613.1,0.121,1.06,
steuben-9,8/15/2023,7.8,668.9,6.9,76.3,33.45,5.93,13.7,18.46,770.1,0.14,1.03,11.3
steuben-9,8/23/2023,7.72,742.3,5.66,65.2,27.33,10.29,1359.1,20.97,313,0.133,1.11,
steuben-9,8/30/2023,7.83,838.6,6.7,69.7,36.04,10.07,684.3,15.41,461.1,0.104,1.28,16.2
steuben-9,9/6/2023,7.91,859.4,7.41,84.4,26.21,2.95,15.5,19.77,816.4,0.101,1.26,5.9
steuben-9,9/13/2023,7.8,786.8,8.13,83.4,31.7,3.15,6.5,15.19,261.3,0.085,1.17,8.125
steuben-9,9/20/2023,7.9,860.5,8.29,89.9,27.46,8.45,7,17.59,816.4,0.055,1.55,5.3
steuben-9,9/27/2023,7.97,833.4,9.259,9.29,34.04,6.65,22.2,15.76,1203.3,0.055,1.32,1.1
steuben-9,10/4/2023,7.9,778.9,10.68,116.3,30.66,8.03,29.3,18.04,435.9,0.043,0.986,0.8
steuben-9,10/11/2023,7.88,732.5,9.58,91.6,53.34,13.58,3.6,11.48,151.5,0.056,1.1,1.8
